"Liter.Tank.Jahr.a" "Literpreis.Jahr.a" "Euro.Tank.Jahr.a" "KM.Tank.Jahr.a" "Tage.Tank.Jahr.a" "Liter.KM.Jahr.a" "Euro.KM.Jahr.a" "KM.Tag.Jahr.a" "Liter.Tag.Jahr.a" "Euro.Tag.Jahr.a"
"2014" 37.935 1.49083333333333 56.5616666666667 447.166666666667 36 0.0848341408870667 0.126489004845322 1.57115740740741 1.05375 1.57115740740741
"2015" 33.7605882352941 1.37988235294118 45.5388235294118 397.411764705882 21.2352941176471 0.0849511545293073 0.114588513913558 2.14448753462604 1.58983379501385 2.14448753462604
"2016" 34.4222222222222 1.29566666666667 44.4211111111111 440.5 20.8333333333333 0.0781435237734897 0.100842476983226 2.13221333333333 1.65226666666667 2.13221333333333
"2017" 33.4463636363636 1.32172727272727 44.0381818181818 393.272727272727 31.7272727272727 0.085046232085067 0.111978733240869 1.3880229226361 1.05418338108883 1.3880229226361
"2018" 26.3373333333333 1.42233333333333 37.48 290.733333333333 25.7333333333333 0.0905893143774364 0.128915386379271 1.45647668393782 1.02347150259067 1.45647668393782
"2019" 35.4025 1.42275 50.20125 398.75 41.875 0.0887836990595611 0.125896551724138 1.19883582089552 0.845432835820896 1.19883582089552
"2020" 37.0875 1.3065 48.3375 421.75 57.125 0.087937166567872 0.114611736810907 0.84617067833698 0.649234135667396 0.84617067833698
"2021" 37.614 1.617 60.87 492.8 64.2 0.0763271103896104 0.123518668831169 0.948130841121495 0.58588785046729 0.948130841121495
"2022" 39.255 1.8665 73.0775 498.5 89.5 0.0787462387161484 0.146594784353059 0.816508379888268 0.438603351955307 0.816508379888268
"2023" 39.095 1.844 72.1033333333333 484 64.3333333333333 0.0807747933884297 0.148973829201102 1.12077720207254 0.607694300518135 1.12077720207254
"2024" 39.6616666666667 1.794 71.2033333333333 495.5 52.6666666666667 0.0800437268752102 0.143699966363942 1.35196202531646 0.753069620253165 1.35196202531646
